Area,Latitude,Longitude,average_rating,Final Score,mapped_categories
"Adyar, Chennai",12.9715987,77.5945627,4.384615385,0.5065947524347826,"Adventure and Recreation, Beach and Water, Educational and Research, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious"
"Alambagh, Lucknow",12.9715987,77.5945627,4.384615385,0.5084318620434782,"Adventure and Recreation, Educational and Research, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious, Shopping and Urban"
"Aluva, Kochi",12.9715987,77.5945627,4.384615385,0.502843987,"Adventure and Recreation, Beach and Water, Educational and Research, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious, Shopping and Urban, Transportation and Services"
"Amber Fort, Jaipur",26.9880088,75.861032,4.552380952,0.6405432596,"Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious"
"Aminabad, Lucknow",12.9715987,77.5945627,4.384615385,0.49705927871428573,"Adventure and Recreation, Beach and Water, Educational and Research, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious, Shopping and Urban"
"Anjuna, Goa",15.5821399,73.7527607,4.25,0.304225352,"Accommodation and Wellness, Adventure and Recreation, Beach and Water, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious"
"Anna Nagar, Chennai",12.9715987,77.5945627,4.384615385,0.5099789017368421,"Adventure and Recreation, Educational and Research, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious, Shopping and Urban"
"Baga Beach, Goa",12.9715987,77.5945627,4.384615385,0.502843987,"Adventure and Recreation, Beach and Water, Educational and Research, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious, Shopping and Urban"
"Ballygunge, Kolkata",12.9715987,77.5945627,4.384615385,0.5063651137499999,"Adventure and Recreation, Beach and Water, Educational and Research, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious"
"Banjara Hills, Hyderabad",12.9715987,77.5945627,4.384615385,0.5063651137499999,"Adventure and Recreation, Beach and Water, Educational and Research, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious, Shopping and Urban"
"Bapu Bazar, Jaipur",26.9194772,75.8236163,4.539285714,0.6370120725999999,"Adventure and Recreation, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious, Shopping and Urban, Transportation and Services"
"Bara Imambara, Lucknow",26.8466937,80.946166,4.186666667,0.29507042233333336,"Adventure and Recreation, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious"
"Begumpet, Hyderabad",12.9715987,77.5945627,4.384615385,0.5063651137499999,"Adventure and Recreation, Beach and Water, Educational and Research, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious, Shopping and Urban"
"Besant Nagar, Chennai",12.9715987,77.5945627,4.384615385,0.49705927871428573,"Adventure and Recreation, Beach and Water, Educational and Research, Entertainment and Leisure, Heritage and Culture, Nature and Wildlife, Religious, Shopping and Urban"
"Bodakdev, Ahmedabad",23.0386593,72.5118581,4.45,0.545774648,"Adventure and Recreation, Educational and Research, Heritage and Culture, Nature and Wildlife"
